model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
timm--ecaresnet50d_pruned.miil_in1k,19939713,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,['Distillation'],4.546666666666667,11.0,79.718,88.68255050161434,7500,7500,341,7159,7159,4.581322691279944,26.831878347890232,27.81789803702855,4.581322691279944,26.831878347890232,27.81789803702855,3,0,727,51,0,784,5594
timm--ecaresnet50t.a1_in1k,25573814,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,[],7.906666666666666,16.69333333333333,81.27600000000001,90.54045573063034,7500,7500,593,6907,6907,8.328632642577125,30.761505666423478,32.05214722348463,8.328632642577125,30.761505666423478,32.05214722348463,10,0,734,60,0,799,5304
timm--ecaresnet50t.a2_in1k,25573814,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,[],6.373333333333333,13.586666666666666,80.862,89.77571602760884,7500,7500,478,7022,7022,7.284109505986596,30.21813839293561,31.460741535578972,7.284109505986596,30.21813839293561,31.460741535578972,8,0,741,60,0,814,5399
timm--ecaresnet50t.a3_in1k,25573814,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,[],2.466666666666667,6.346666666666667,77.794,86.80560437283766,7500,7500,185,7315,7315,2.8919774972378702,24.526687631737797,25.574332658252153,2.8919774972378702,24.526687631737797,25.574332658252153,4,0,615,49,0,806,5841
timm--ecaresnet50t.ra2_in1k,25573814,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,[],10.24,21.373333333333335,81.45,90.54906916183268,7500,7500,768,6732,6732,9.179235128810001,33.655696953027494,34.683350600466554,9.179235128810001,33.655696953027494,34.683350600466554,4,0,878,54,0,832,4964
timm--ecaresnetlight.miil_in1k,30162046,ImageNet-1k (1.2M),ecaresnet,cnn,ResNet,[],6.733333333333333,15.133333333333333,80.45400000000001,89.71803567949112,7500,7500,505,6995,6995,6.509237418069317,29.80837157070492,30.879288966259978,6.509237418069317,29.80837157070492,30.879288966259978,8,0,764,49,0,804,5370
timm--edgenext_base.in21k_ft_in1k,18511292,ImageNet-21k (14M),edgenext,hybrid,Hybrid,[],19.4,35.76,83.39800000000001,92.3616890127421,7500,7500,1455,6045,6045,17.763054926521864,43.29152561399173,44.48283818314661,17.763054926521864,43.29152561399173,44.48283818314661,5,0,992,63,0,842,4143
timm--edgenext_base.usi_in1k,18511292,ImageNet-1k (1.2M),edgenext,hybrid,Hybrid,['Distillation'],12.653333333333334,25.373333333333335,83.646,92.67752193712762,7500,7500,949,6551,6551,12.427476233609694,36.89565833829831,38.29317273701375,12.427476233609694,36.89565833829831,38.29317273701375,12,0,862,67,0,854,4756
timm--edgenext_small.usi_in1k,5586832,ImageNet-1k (1.2M),edgenext,hybrid,Hybrid,['Distillation'],6.8533333333333335,15.466666666666667,81.07,90.11911905560936,7500,7500,514,6986,6986,6.628572529414643,30.446107373325397,31.71096297610579,6.628572529414643,30.446107373325397,31.71096297610579,4,0,784,61,0,830,5307
timm--edgenext_small_rw.sw_in1k,7826512,ImageNet-1k (1.2M),edgenext,hybrid,Hybrid,[],5.8133333333333335,13.613333333333333,79.58800000000001,88.65746983236964,7500,7500,436,7064,7064,5.73284056525397,29.157486227571795,30.059603573016997,5.73284056525397,29.157486227571795,30.059603573016997,8,0,792,49,0,804,5411
