model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
timm--tresnet_m.miil_in21k_ft_in1k,31389032,ImageNet-21k (14M),tresnet,cnn,ResNet,[],10.773333333333333,21.653333333333332,83.08,91.98979451920677,7500,4778,607,6692,4171,10.046237257169786,34.273450733207746,35.45507950236913,12.948870023117651,34.98503901835038,35.27522383630373,8,0,660,7,0,299,3197
timm--tresnet_v2_l.miil_in21k_ft_in1k,46174824,ImageNet-21k (14M),tresnet,cnn,ResNet,[],13.84,26.72,83.89999999999999,92.8238464897679,7500,4778,797,6462,3981,12.189406662392681,37.91693208451138,39.31931840866603,16.681058718514393,40.68038915289795,40.910119993589184,9,0,738,6,0,318,2910
timm--tresnet_xl.miil_in1k,78436244,ImageNet-1k (1.2M),tresnet,cnn,ResNet,[],9.293333333333333,19.6,82.07,91.23355827179395,7500,4778,509,6803,4269,8.986049775089263,34.32894181315953,35.530192633856295,11.8933097990611,35.253469730571894,35.44235286297811,10,0,682,7,0,331,3239
timm--tresnet_xl.miil_in1k_448,78436244,ImageNet-1k (1.2M),tresnet,cnn,ResNet,[],26.813333333333333,43.4,83.048,91.95216774797306,7500,4778,1664,5489,3114,21.99602010756964,46.69774437128127,48.03212975589258,34.2016706368376,58.46404269285978,59.003461197258474,11,0,779,19,0,288,2017
timm--twins_pcpvt_base.in1k,43828456,ImageNet-1k (1.2M),twins,transformer,ViT,[],15.0,29.933333333333334,82.708,91.60801619261413,7500,4778,849,6375,3929,14.034842185022187,39.36094399157659,40.58797388739911,18.100891864483124,41.745960076577504,42.02019944029977,12,0,738,11,0,334,2834
timm--twins_pcpvt_large.in1k,60989672,ImageNet-1k (1.2M),twins,transformer,ViT,[],16.866666666666667,33.306666666666665,83.13199999999999,91.97659851500451,7500,4778,962,6235,3816,15.519811128436478,40.73383767173032,42.06054755667897,19.940690601422578,43.86033262522101,44.15744086585235,11,0,752,8,0,293,2752
timm--twins_pcpvt_small.in1k,24106216,ImageNet-1k (1.2M),twins,transformer,ViT,[],11.053333333333333,22.6,81.08999999999999,90.13334758765527,7500,4778,630,6671,4148,9.974265778512121,34.65708120760002,36.083794321423916,13.460635238731792,36.64379454078236,36.98287979517582,7,0,661,7,0,342,3131
timm--twins_svt_base.in1k,56070952,ImageNet-1k (1.2M),twins,transformer,ViT,[],16.906666666666666,33.08,83.126,92.16351880146033,7500,4778,958,6232,3820,15.842263452530977,40.74011823359181,42.06994517478378,20.95423468147163,44.34990730731099,44.517763847262046,10,0,742,9,0,309,2750
timm--twins_svt_large.in1k,99271400,ImageNet-1k (1.2M),twins,transformer,ViT,[],19.28,37.10666666666667,83.67999999999999,92.63926207435532,7500,4778,1079,6054,3699,17.661449050066008,41.892963864812664,43.44616785354673,22.750709884357036,46.00906747444123,46.13544797072902,9,0,737,9,0,312,2632
timm--twins_svt_small.in1k,24060776,ImageNet-1k (1.2M),twins,transformer,ViT,[],11.946666666666667,24.08,81.678,90.56497676171477,7500,4778,679,6604,4099,11.037785896179134,34.72851221038668,36.00123147455178,14.732039893751006,36.199910358856414,36.51291547908007,11,0,642,12,0,314,3120
timm--vit_base_patch16_224.augreg2_in21k_ft_in1k,86567656,ImageNet-21k (14M),vit,transformer,ViT,[],29.973333333333333,49.74666666666667,85.098,93.99626604690499,7500,4778,1635,5252,3143,27.633351913618505,52.524587424146375,53.9965420368064,34.71837721164403,57.33611177182214,57.635476464179625,8,0,739,13,0,286,2097
timm--vit_base_patch16_224.augreg_in1k,86567656,ImageNet-1k (1.2M),vit,transformer,ViT,[],7.2,14.986666666666666,79.152,87.96447388052292,7500,4778,357,6960,4421,7.958501673496656,30.05021673280941,31.163388901790356,8.104526086489587,27.711686907003564,27.978258014743258,8,0,555,10,0,306,3542
timm--vit_base_patch16_224.augreg_in21k_ft_in1k,86567656,ImageNet-21k (14M),vit,transformer,ViT,[],25.106666666666666,43.21333333333333,84.528,93.30416077472604,7500,4778,1284,5617,3494,24.72866956741127,50.56183516242668,52.025816124998336,27.288265720174998,51.505673705607,51.85959533084168,12,0,767,14,0,304,2397
timm--vit_base_patch16_224.orig_in21k_ft_in1k,86567656,ImageNet-21k (14M),vit,transformer,ViT,[],17.253333333333334,32.026666666666664,81.78999999999999,90.6612492070197,7500,4778,860,6206,3918,17.83366145976929,43.12831996456742,44.67991367818765,19.05259813840375,42.97562292403419,43.40130702300324,5,0,733,17,0,316,2847
timm--vit_base_patch16_224.sam_in1k,86567656,ImageNet-1k (1.2M),vit,transformer,ViT,[],4.04,8.96,80.24,89.08062601184538,7500,4778,198,7197,4580,4.305342234927697,26.135468006058836,27.070087952902195,4.136551945441528,22.59809449515112,22.76234548109941,2,0,467,9,0,329,3773
timm--vit_base_patch16_224_miil.in21k_ft_in1k,86540008,ImageNet-21k (14M),vit,transformer,ViT,[],19.56,34.49333333333333,84.26599999999999,93.14589016418779,7500,4778,1096,6033,3682,17.97088948099638,43.83574280579149,45.26510332383476,23.6475633967613,47.13117485430621,47.50351585425612,11,0,731,13,0,308,2619
timm--vit_base_patch16_384.augreg_in1k,86859496,ImageNet-1k (1.2M),vit,transformer,ViT,[],14.56,27.493333333333332,81.10000000000001,90.08450149695538,7500,4778,767,6408,4011,14.502774634517623,38.1879022387171,39.293961359731895,15.791707323488607,37.75731938474255,38.03243762185923,7,0,662,9,0,317,3016
timm--vit_base_patch16_384.augreg_in21k_ft_in1k,86859496,ImageNet-21k (14M),vit,transformer,ViT,[],40.92,63.68,85.992,94.96824031017178,7500,4778,2190,4431,2588,38.140148877501396,62.154151720844986,63.68248391556226,45.28510247878245,68.66347348396742,69.11676611935245,12,0,777,22,0,254,1523
timm--vit_base_patch16_384.orig_in21k_ft_in1k,86859496,ImageNet-21k (14M),vit,transformer,ViT,[],30.92,50.626666666666665,84.2,92.91675050955274,7500,4778,1628,5181,3150,29.5895351777947,55.520870780714574,56.97070951479262,33.73948060352476,59.04815262586391,59.24657442561758,9,0,805,13,0,297,2026
timm--vit_base_patch16_clip_224.laion2b_ft_in12k_in1k,86568424,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],30.186666666666667,50.053333333333335,86.17,94.85760649266497,7500,4778,1565,5236,3213,29.683454108642803,55.16663476301634,56.726283268727265,34.10758745927449,58.65716077706817,59.08054430773022,19,0,796,15,0,308,2075
timm--vit_base_patch16_clip_224.laion2b_ft_in1k,86568424,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],24.053333333333335,41.50666666666667,85.47,94.13847293573346,7500,4778,1165,5696,3613,25.327892835523013,51.02865850562955,52.65230442299105,26.266095776563592,51.02026223671628,51.37721489829647,15,0,798,11,0,359,2430
timm--vit_base_patch16_clip_224.openai_ft_in12k_in1k,86568424,WIT (400M),vit,transformer,ViT,['CLIP Training'],29.546666666666667,49.70666666666666,85.932,94.6858831588093,7500,4778,1526,5284,3252,28.89642145109523,54.40748688745172,55.928568879229154,33.42282414524428,58.62413870163286,58.967640597633185,15,0,811,17,0,331,2078
timm--vit_base_patch16_clip_224.openai_ft_in1k,86568424,WIT (400M),vit,transformer,ViT,['CLIP Training'],27.906666666666666,47.093333333333334,85.294,93.99530985741164,7500,4778,1474,5407,3304,27.025226070981567,54.23798871071403,56.10662911713135,31.558652412032906,58.45681896428814,58.733914120627794,13,0,841,15,0,339,2096
timm--vit_base_patch16_clip_384.laion2b_ft_in12k_in1k,86860264,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],37.85333333333333,59.093333333333334,87.212,95.72901151351267,7500,4778,1857,4661,2921,38.94361361019706,62.70865556385552,64.1606511839984,40.54091565277798,63.49422956728421,63.806484514744376,16,0,769,17,0,291,1828
timm--vit_base_patch16_clip_384.laion2b_ft_in1k,86860264,LAION-2B (2.3B),vit,transformer,ViT,['CLIP Training'],33.973333333333336,54.14666666666667,86.614,95.34521894385314,7500,4778,1585,4952,3193,36.54153593279332,60.81209875890223,62.32976551959586,34.58244161853983,59.004314697034964,59.38907205683014,16,0,793,17,0,320,2047
timm--vit_base_patch16_clip_384.openai_ft_in12k_in1k,86860264,WIT (400M),vit,transformer,ViT,['CLIP Training'],37.61333333333334,60.16,87.032,95.62787252822889,7500,4778,1841,4679,2937,39.237428084048084,63.12350884838902,64.59632807566818,40.332187726311105,64.31091554047114,64.73363516768136,17,0,804,20,0,289,1807
timm--vit_base_patch16_clip_384.openai_ft_in1k,86860264,WIT (400M),vit,transformer,ViT,['CLIP Training'],34.86666666666667,54.986666666666665,86.2,94.85571932281715,7500,4778,1646,4885,3132,36.58239467782665,62.24661583731046,63.95383585740206,34.893115563589824,60.86262980772925,61.200956438009015,15,0,843,21,0,321,1932
timm--vit_base_patch16_rpn_224.sw_in1k,86538472,ImageNet-1k (1.2M),vit,transformer,ViT,[],12.0,25.04,82.204,91.11425751879733,7500,4778,655,6600,4123,11.094399992452761,34.827003804053106,35.99611770123567,13.967055917370757,35.69094267499706,36.024748468248404,5,0,657,11,0,309,3141
timm--vit_base_patch32_224.augreg_in1k,88224232,ImageNet-1k (1.2M),vit,transformer,ViT,[],3.48,7.986666666666666,74.896,83.49861289080745,7500,4778,174,7239,4604,3.992545317811042,24.018982992567842,24.75088820036676,3.9109771273753884,20.106397752923886,20.339036559007265,3,0,412,11,0,273,3905
timm--vit_base_patch32_224.augreg_in21k_ft_in1k,88224232,ImageNet-21k (14M),vit,transformer,ViT,[],10.706666666666667,22.386666666666667,80.71199999999999,89.58216307213638,7500,4778,522,6697,4256,11.28698177819878,36.670228577561424,38.02745001284138,11.534651129841004,33.92965482768784,34.23746030631593,11,0,641,12,0,320,3272
timm--vit_base_patch32_224.sam_in1k,88224232,ImageNet-1k (1.2M),vit,transformer,ViT,[],1.6666666666666667,4.333333333333333,73.696,82.07325029373807,7500,4778,72,7375,4706,1.954317255863146,21.445690389845332,22.277934209924695,1.6891791507308205,16.17712220245914,16.2610780682452,3,0,360,6,0,282,4055
timm--vit_base_patch32_384.augreg_in1k,88297192,ImageNet-1k (1.2M),vit,transformer,ViT,[],7.306666666666667,15.586666666666666,78.758,87.69457965752889,7500,4778,357,6952,4421,8.247338271054254,30.71993323441796,31.56905972537772,7.340970530862519,27.94651531602266,28.07939533551094,3,0,578,6,0,313,3521
timm--vit_base_patch32_384.augreg_in21k_ft_in1k,88297192,ImageNet-21k (14M),vit,transformer,ViT,[],19.84,37.06666666666667,83.352,92.14247330498917,7500,4778,989,6012,3789,20.06948130573105,46.565105815659024,48.044165022106036,21.503969816266313,46.50970657523088,46.71813079492487,12,0,774,12,0,328,2663
