model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,top1_val_acc_subset_200,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified
torchvision--regnet_y_128gf_swag,644812894,Instagram (3.6B),regnet,cnn,RegNet,['Semi-Supervised Learning'],64.05333333333333,83.88,88.228,96.7233297236823,7500,2240,1135,2696,1105,59.565899999506364,78.219890305193,79.69418128493794,52.843530966090334,71.61609815620902,74.11844436615642,0,0,140,61,0,288,616
torchvision--regnet_y_16gf,83590140,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],14.746666666666666,29.133333333333333,82.88799999999999,91.78203344943707,7500,2240,304,6394,1936,14.851968908186706,38.8182515122114,40.15084113313037,13.695044469654857,36.65857258168004,38.852781156041125,0,0,149,53,0,362,1372
torchvision--regnet_y_16gf_swag,83590140,Instagram (3.6B),regnet,cnn,RegNet,['Semi-Supervised Learning'],45.57333333333333,67.98666666666666,86.016,94.77201508673689,7500,2240,814,4082,1426,42.180122905694944,66.49603486379786,68.20217354837258,37.48705226018571,61.0783190086724,63.841512910171424,0,0,171,66,0,343,846
torchvision--regnet_y_1_6gf,11202430,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],7.666666666666667,17.12,80.878,90.10807306771352,7500,2240,157,6925,2083,7.930333482767493,32.00665275318836,33.03641000906499,7.404441479170173,30.51178641177028,32.23035808754674,0,0,137,36,0,367,1543
torchvision--regnet_y_32gf,145046770,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],16.30666666666667,31.30666666666667,83.366,92.3168860168903,7500,2240,335,6277,1905,16.47775137283224,39.65555777794325,40.95235755019578,15.786593572233665,37.68800647201921,39.94275028053337,0,0,143,50,0,352,1360
torchvision--regnet_y_32gf_swag,145046770,Instagram (3.6B),regnet,cnn,RegNet,['Semi-Supervised Learning'],52.61333333333334,74.14666666666666,86.834,95.4117252647597,7500,2240,906,3554,1334,48.45706549556181,70.64215709862648,72.07731019640013,41.74296759299781,63.806952105691416,66.06711348190217,0,0,155,56,0,344,779
torchvision--regnet_y_3_2gf,19436338,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],9.453333333333333,20.28,81.986,90.98133469815393,7500,2240,205,6791,2035,10.10238888646691,33.83647869861499,35.17366272629447,9.391834535457209,32.277750223188995,34.47417036746728,0,0,144,52,0,362,1477
torchvision--regnet_y_400mf,4344144,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],2.3733333333333335,6.573333333333333,75.8,85.19125717892379,7500,2240,58,7322,2182,2.7602488412692074,23.91692000010507,24.88149412592376,2.6351607358744698,24.306400968356883,25.81830954362591,0,0,128,33,0,359,1662
torchvision--regnet_y_800mf,6432512,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],4.12,10.8,78.83,87.85993725658612,7500,2240,100,7191,2140,4.737230647410112,27.017119059605914,28.19690600850635,4.430269690401264,26.845161384122168,28.841234281424015,0,0,141,43,0,351,1605
torchvision--regnet_y_8gf,39381472,ImageNet-1k (1.2M),regnet,cnn,RegNet,[],13.76,27.28,82.824,91.66314007629836,7500,2240,273,6468,1967,13.88390163701958,38.311072653144116,39.4454359837113,12.985980356463262,36.06987707888998,38.02766970740799,0,0,146,43,0,370,1408
torchvision--resnet101,44549160,ImageNet-1k (1.2M),resnet,cnn,ResNet,[],7.293333333333333,16.386666666666667,81.89,90.83729988922371,7500,2240,150,6953,2090,7.5235832480174,31.53086188514564,32.67471630094361,7.054519536469452,30.384360203512784,32.353768374827716,0,0,141,44,0,382,1523
torchvision--resnet152,60192808,ImageNet-1k (1.2M),resnet,cnn,ResNet,[],9.773333333333333,20.413333333333334,82.286,91.2384531567508,7500,2240,193,6767,2047,10.046143357729282,33.99776026381241,35.24570672752799,9.599897945072438,32.15318117632343,34.17481952618281,0,0,150,42,0,356,1499
torchvision--resnet18,11689512,ImageNet-1k (1.2M),resnet,cnn,ResNet,[],0.30666666666666664,1.1466666666666667,69.758,78.35676186558564,7500,2240,5,7477,2235,0.28145278237229027,18.149633801774147,19.022606852777052,0.1896000208193334,18.710207447912524,20.08738586617857,0,0,116,30,0,306,1783
torchvision--resnet34,21797672,ImageNet-1k (1.2M),resnet,cnn,ResNet,[],0.6133333333333333,1.8666666666666667,73.31400000000001,82.31845968960533,7500,2240,12,7454,2228,0.5964400007996253,20.334586104382506,21.237013840196674,0.4819727700543104,20.887220647416367,22.547024348888392,0,0,124,42,0,338,1724
torchvision--resnet50,25557032,ImageNet-1k (1.2M),resnet,cnn,ResNet,[],6.386666666666667,14.546666666666667,80.856,90.15544113695091,7500,2240,110,7021,2130,6.039745064954877,29.20309267050214,30.430638456608495,5.503068836168002,27.763486734336933,29.906125768991217,0,0,136,45,0,381,1568
torchvision--resnext101_32x8d,88791336,ImageNet-1k (1.2M),resnext,cnn,ResNet,[],13.786666666666667,27.506666666666668,82.83,91.78550562440691,7500,2240,253,6466,1987,13.385000883543647,37.566847927150285,38.937630197634626,12.239644738880262,34.47592879776814,36.92820400838427,0,0,139,53,0,366,1429
