model_dir_id,num_params,training_data,arch,arch_family,arch_group,extra_annotations,top1_val_acc,imagenet_top1_val_acc,imagenet_mla_val_acc,num_all_samples,num_group_samples,num_group_correct,num_all_top1_errors,num_group_top1_errors,mla_all,mla_all_minor_error,mla_all_explainable_error,mla_group,mla_group_minor_error,mla_group_explainable_error,num_collapsed_mappings,num_ambiguous,num_same_superclass,num_common_co_occ,num_non_prototypical,num_OOV_clip,num_not_classified,num_all_imagenet-m_samples,num_group_imagenet-m_samples,num_imagenet-m_errors
timm--edgenext_x_small.in1k,2336804,ImageNet-1k (1.2M),edgenext,hybrid,Hybrid,[],74.86,74.86,83.90495465361978,18692,10184,7332,4059,2852,83.90495465361978,91.13486286030825,92.00804293530716,78.0640428536588,86.70867463189,88.4065866567062,75,760,561,126,7,177,1146,68,47,37
timm--edgenext_xx_small.in1k,1327216,ImageNet-1k (1.2M),edgenext,hybrid,Hybrid,[],71.108,71.108,79.59376056563002,18692,10184,6852,4830,3332,79.59376056563002,88.04315144607739,89.0539816371282,72.67389937393696,82.79151349760647,84.38971965313372,64,766,655,149,8,184,1506,68,47,35
timm--efficientformer_l1.snap_dist_in1k,12289928,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],80.49199999999999,80.49199999999999,89.53556872779815,18692,10184,8046,3010,2138,89.53556872779815,94.86541149511008,95.57455058056871,83.96103852515479,91.59854422917287,93.11787239387527,81,752,400,108,6,145,646,68,47,36
timm--efficientformer_l3.snap_dist_in1k,31406000,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],82.54599999999999,82.54599999999999,91.60207966955694,18692,10184,8326,2619,1858,91.60207966955694,96.06533290024424,96.72433800848307,88.7800394574719,93.9860016075359,95.18075190304765,78,743,313,96,8,135,485,68,47,37
timm--efficientformer_l7.snap_dist_in1k,82229328,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],83.384,83.384,92.32001925791829,18692,10184,8427,2459,1757,92.32001925791829,96.62984648650311,97.16913322144003,89.36889449357572,94.48737287444952,95.43599150285674,72,712,322,81,8,137,425,68,47,33
timm--efficientformerv2_l.snap_dist_in1k,26322288,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],83.63000000000001,83.63000000000001,92.91555275649743,18692,10184,8461,2399,1723,92.91555275649743,96.82191257529905,97.33131351190977,89.38253468275894,95.00707839480393,96.0646186850545,68,756,292,79,5,119,404,68,47,34
timm--efficientformerv2_s0.snap_dist_in1k,3600256,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],76.112,76.112,84.79289449714393,18692,10184,7542,3856,2642,84.79289449714393,92.13601824173452,92.98300188201927,79.47640496404384,88.24003415947055,89.79684765648166,63,757,550,125,9,160,978,68,47,35
timm--efficientformerv2_s1.snap_dist_in1k,6185560,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],79.69000000000001,79.69000000000001,88.7009503353549,18692,10184,7977,3137,2207,88.7009503353549,94.49536673036327,95.20032207687433,84.44248747051631,91.74825193334468,92.91524250805355,69,749,426,101,8,152,702,68,47,39
timm--efficientformerv2_s2.snap_dist_in1k,12710112,ImageNet-1k (1.2M),efficientformer,hybrid,Hybrid,['Distillation'],82.172,82.172,91.21946288962204,18692,10184,8296,2688,1888,91.21946288962204,95.9150332892945,96.57304268873575,87.07292740963177,93.23753038466334,94.48053490071133,70,731,339,100,8,130,510,68,47,35
timm--efficientnet_b0.ra_in1k,5288548,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],77.69200000000001,77.69200000000001,86.54498103891315,18692,10184,7664,3563,2520,86.54498103891315,92.94263522726034,93.67059456281633,80.59649134367419,88.56350021515757,90.04045366423584,75,756,489,109,7,179,905,68,47,36
timm--efficientnet_b1.ft_in1k,7794184,ImageNet-1k (1.2M),efficientnet,cnn,EfficientNet,[],77.428,77.428,86.47408166566865,18692,10184,7719,3550,2465,86.47408166566865,92.92599986056295,93.77431973169621,81.45203198099973,88.77294913523521,90.38676295678671,77,748,484,132,6,154,864,68,47,37
